id,description,publishedDate,categoryId,albumId
1,"A breathtaking sunset over the Grand Canyon, capturing the vibrant hues of the sky and the canyon majestic landscape.",2026-03-05,1,1
2,"A close-up shot of a dew-covered spider web in a misty morning forest, highlighting the intricate beauty of nature.",2026-07-18,2,4
3,"A soccer player mid-air, kicking the ball during an intense match under stadium lights.",2026-01-22,3,3
4,"An urban street mural depicting vibrant and abstract forms, adding a splash of color to the cityscape.",2026-11-09,4,5
5,"Exploring the streets of Tokyo during cherry blossom season, with the iconic sakura trees in full bloom.",2026-04-30,1,1
6,"A field of vibrant wildflowers in full bloom, creating a colorful carpet under the open blue sky.",2026-12-14,2,5
7,"Close-up of an artist hands at work, capturing the intricate details of the creation process.",2026-06-03,4,6
8,"Relaxing on a pristine beach in Bali, toes in the sand, and a panoramic view of the turquoise ocean.",2026-02-11,1,1
9,"A serene lake surrounded by lush greenery, reflecting the towering mountains in its crystal-clear waters.",2026-09-27,2,6
10,"A snowboarder carving through fresh powder on a snowy mountain slope, leaving a trail of powder behind.",2026-05-06,3,4
11,An outdoor art installation featuring sculptural pieces that interact with the natural environment.,2026-10-21,4,2
12,"Hiking the Inca Trail to Machu Picchu, with the ancient ruins emerging through the misty mountain landscape.",2026-08-02,1,1
13,"A majestic waterfall cascading down a rocky cliff, surrounded by emerald-green foliage.",2026-03-19,2,4
14,"A surfer catching a wave at sunset, skillfully riding the ocean swell.",2026-12-01,3,3
15,A gallery exhibition showcasing a collection of thought-provoking and contemporary artworks.,2026-07-29,4,5
